0 - moving, 1 - wallBounce, 2 - playerHit, 3 - enemyHit, 4 - playerFail, 5 - enemyFail
playerPosY, enemyPosY, events, playerScore, enemyScore
4.5, 4.34, 4.00, 0.00, 0.00
4.5, 4.3, 4.00, 0.00, 0.00
4.5, 4.3, 4.00, 0.00, 0.00
4.5, 4.280002, 4.00, 0.00, 0.00
4.5, 4.280002, 4.00, 0.00, 0.00
4.5, 4.260005, 4.00, 0.00, 0.00
4.5, 4.260005, 4.00, 0.00, 0.00
4.5, 4.240009, 4.00, 0.00, 0.00
4.5, 4.240009, 4.00, 0.00, 0.00
4.5, 4.220015, 4.00, 0.00, 0.00
4.5, 4.200021, 4.00, 0.00, 0.00
4.5, 4.200021, 4.00, 0.00, 0.00
4.5, 4.180029, 4.00, 0.00, 0.00
4.5, 4.180029, 4.00, 0.00, 0.00
4.5, 4.160039, 4.00, 0.00, 0.00
4.5, 4.160039, 4.00, 0.00, 0.00
4.5, 4.14005, 4.00, 0.00, 0.00
4.5, 4.14005, 4.00, 0.00, 0.00
4.5, 4.120062, 4.00, 0.00, 0.00
4.5, 4.100076, 4.00, 0.00, 0.00
4.5, 4.100076, 4.00, 0.00, 0.00
4.5, 4.080091, 4.00, 0.00, 0.00
4.5, 4.080091, 4.00, 0.00, 0.00
4.5, 4.060107, 4.00, 0.00, 0.00
4.5, 4.060107, 4.00, 0.00, 0.00
4.5, 4.040124, 4.00, 0.00, 0.00
4.5, 4.040124, 4.00, 0.00, 0.00
4.5, 4.020144, 4.00, 0.00, 0.00
4.5, 4.000164, 4.00, 0.00, 0.00
4.5, 4.000164, 4.00, 0.00, 0.00
4.5, 3.980185, 4.00, 0.00, 0.00
4.5, 3.980185, 4.00, 0.00, 0.00
4.5, 3.960208, 4.00, 0.00, 0.00
4.5, 3.960208, 4.00, 0.00, 0.00
4.5, 3.940232, 4.00, 0.00, 0.00
4.5, 3.940232, 4.00, 0.00, 0.00
4.5, 3.920258, 4.00, 0.00, 0.00
4.5, 3.900285, 4.00, 0.00, 0.00
4.5, 3.900285, 4.00, 0.00, 0.00
4.5, 3.880313, 4.00, 0.00, 0.00
4.5, 3.880313, 4.00, 0.00, 0.00
4.5, 3.860343, 4.00, 0.00, 0.00
4.5, 3.860343, 4.00, 0.00, 0.00
4.5, 3.840374, 4.00, 0.00, 0.00
4.5, 3.840374, 4.00, 0.00, 0.00
4.5, 3.820406, 4.00, 0.00, 0.00
4.5, 3.80044, 4.00, 0.00, 0.00
4.5, 3.80044, 4.00, 0.00, 0.00
4.5, 3.780475, 4.00, 0.00, 0.00
4.5, 3.780475, 4.00, 0.00, 0.00
4.5, 3.760511, 4.00, 0.00, 0.00
4.5, 3.760511, 4.00, 0.00, 0.00
4.5, 3.740549, 4.00, 0.00, 0.00
4.5, 3.740549, 4.00, 0.00, 0.00
4.5, 3.720588, 4.00, 0.00, 0.00
4.5, 3.700628, 4.00, 0.00, 0.00
4.5, 3.700628, 4.00, 0.00, 0.00
4.5, 3.68067, 4.00, 0.00, 0.00
4.5, 3.68067, 4.00, 0.00, 0.00
4.5, 3.660712, 4.00, 0.00, 0.00
4.5, 3.660712, 4.00, 0.00, 0.00
4.5, 3.640757, 4.00, 0.00, 0.00
4.5, 3.640757, 4.00, 0.00, 0.00
4.5, 3.620803, 4.00, 0.00, 0.00
4.5, 3.60085, 4.00, 0.00, 0.00
4.5, 3.60085, 4.00, 0.00, 0.00
4.5, 3.580898, 4.00, 0.00, 0.00
4.5, 3.580898, 4.00, 0.00, 0.00
4.5, 3.560947, 4.00, 0.00, 0.00
4.5, 3.560947, 4.00, 0.00, 0.00
4.5, 3.540998, 4.00, 0.00, 0.00
4.5, 3.540998, 4.00, 0.00, 0.00
4.5, 3.521051, 4.00, 0.00, 0.00
4.5, 3.501105, 4.00, 0.00, 0.00
4.5, 3.501105, 4.00, 0.00, 0.00
4.5, 3.481159, 4.00, 0.00, 0.00
4.5, 3.481159, 4.00, 0.00, 0.00
4.5, 3.461216, 4.00, 0.00, 0.00
4.5, 3.461216, 4.00, 0.00, 0.00
4.5, 3.441273, 4.00, 0.00, 0.00
4.5, 3.441273, 4.00, 0.00, 0.00
4.5, 3.421333, 4.00, 0.00, 0.00
4.5, 3.401393, 4.00, 0.00, 0.00
4.5, 3.401393, 4.00, 0.00, 0.00
4.5, 3.381454, 4.00, 0.00, 0.00
4.5, 3.381454, 4.00, 0.00, 0.00
4.5, 3.361517, 4.00, 0.00, 0.00
4.5, 3.361517, 4.00, 0.00, 0.00
4.5, 3.341582, 4.00, 0.00, 0.00
4.5, 3.341582, 4.00, 0.00, 0.00
4.5, 3.321648, 4.00, 0.00, 0.00
4.5, 3.301714, 4.00, 0.00, 0.00
4.5, 3.301714, 4.00, 0.00, 0.00
4.5, 3.281783, 4.00, 0.00, 0.00
4.5, 3.281783, 4.00, 0.00, 0.00
4.5, 3.261852, 4.00, 0.00, 0.00
4.5, 3.261852, 4.00, 0.00, 0.00
4.5, 3.241923, 4.00, 0.00, 0.00
4.5, 3.241923, 4.00, 0.00, 0.00
4.5, 3.221996, 4.00, 0.00, 0.00
4.5, 3.202069, 4.00, 0.00, 0.00
4.5, 3.202069, 4.00, 0.00, 0.00
4.5, 3.182144, 4.00, 0.00, 0.00
4.5, 3.182144, 4.00, 0.00, 0.00
4.5, 3.16222, 4.00, 0.00, 0.00
4.5, 3.16222, 4.00, 0.00, 0.00
4.5, 3.142298, 4.00, 0.00, 0.00
4.5, 3.142298, 4.00, 0.00, 0.00
4.5, 3.122377, 4.00, 0.00, 0.00
4.5, 3.102458, 4.00, 0.00, 0.00
4.5, 3.102458, 4.00, 0.00, 0.00
4.5, 3.082539, 4.00, 0.00, 0.00
4.5, 3.082539, 4.00, 0.00, 0.00
4.5, 3.062622, 4.00, 0.00, 0.00
4.5, 3.062622, 4.00, 0.00, 0.00
